거래일자,거래시간,적요,입금액,출금액,잔액,입금자명
2026-03-22,09:00,타행이체,"300,000",,"5,300,000",김정호
2026-03-22,09:07,타행이체,"200,000",,"5,500,000",김 영 희
2026-03-22,09:30,체크카드,,"12,000","5,488,000",마트
2026-03-22,09:14,타행이체,"200,000",,"5,688,000",최민준
2026-03-22,09:21,타행이체,"100,000",,"5,788,000",한수진
2026-03-22,09:28,타행이체,"250,000",,"6,038,000",장동철
2026-03-22,09:35,타행이체,"500,000",,"6,538,000",우리상사
2026-03-22,10:42,타행이체,"150,000",,"6,688,000",박민수
2026-03-22,10:49,타행이체,"400,000",,"7,088,000",문지훈
2026-03-22,10:56,타행이체,"200,000",,"7,288,000",이재원십일조
2026-03-22,10:03,타행이체,"80,000",,"7,368,000",송민호
2026-03-22,10:10,타행이체,"60,000",,"7,428,000",최지우
2026-03-22,10:17,타행이체,"120,000",,"7,548,000",정예린
2026-03-22,11:24,타행이체,"50,000",,"7,598,000",강하은감사
2026-03-22,11:31,타행이체,"80,000",,"7,678,000",김태섭
2026-03-22,11:38,타행이체,"90,000",,"7,768,000",천용석
2026-03-22,11:45,타행이체,"70,000",,"7,838,000",추소연
2026-03-22,11:52,타행이체,"130,000",,"7,968,000",남기훈
2026-03-22,11:59,타행이체,"110,000",,"8,078,000",안미라
2026-03-22,12:06,타행이체,"110,000",,"8,188,000",신영철
2026-03-22,12:13,타행이체,"170,000",,"8,358,000",김보라
