거래일자,거래시간,적요,입금액,출금액,잔액,입금자명
2026-03-08,09:00,타행이체,"300,000",,"5,300,000",김정호
2026-03-08,09:07,타행이체,"200,000",,"5,500,000",김 영 희
2026-03-08,09:30,체크카드,,"12,000","5,488,000",마트
2026-03-08,09:14,타행이체,"150,000",,"5,638,000",이순자
2026-03-08,09:21,타행이체,"220,000",,"5,858,000",박성우십일조
2026-03-08,09:28,타행이체,"200,000",,"6,058,000",최민준
2026-03-08,09:35,타행이체,"170,000",,"6,228,000",李현우
2026-03-08,10:42,타행이체,"100,000",,"6,328,000",한수진
2026-03-08,10:49,타행이체,"400,000",,"6,728,000",(주)한빛건설
2026-03-08,10:56,타행이체,"250,000",,"6,978,000",정미경
2026-03-08,10:03,타행이체,"140,000",,"7,118,000",장동현감사
2026-03-08,10:10,타행이체,"120,000",,"7,238,000",오세훈
2026-03-08,10:17,타행이체,"95,000",,"7,333,000",구본녕
2026-03-08,11:24,타행이체,"180,000",,"7,513,000",윤서진
2026-03-08,11:31,타행이체,"80,000",,"7,593,000",김태섭선교
2026-03-08,11:38,타행이체,"500,000",,"8,093,000",강민철
2026-03-08,11:45,타행이체,"90,000",,"8,183,000",배정숙
2026-03-08,11:52,타행이체,"130,000",,"8,313,000",홍기석
2026-03-08,11:59,타행이체,"160,000",,"8,473,000",서은미
2026-03-08,12:06,타행이체,"110,000",,"8,583,000",신영철
2026-03-08,12:13,타행이체,"210,000",,"8,793,000",임재현
2026-03-08,12:20,타행이체,"250,000",,"9,043,000",장동철
2026-03-08,12:27,타행이체,"300,000",,"9,343,000",박민수십일조
2026-03-08,12:34,타행이체,"500,000",,"9,843,000",우리상사
2026-03-08,12:41,타행이체,"170,000",,"10,013,000",김보라
