거래일자,거래시간,적요,입금액,출금액,잔액,입금자명
2026-03-15,09:00,타행이체,"300,000",,"5,300,000",김정호
2026-03-15,09:07,타행이체,"150,000",,"5,450,000",이순자
2026-03-15,09:30,체크카드,,"12,000","5,438,000",마트
2026-03-15,09:14,타행이체,"200,000",,"5,638,000",崔민준
2026-03-15,09:21,타행이체,"220,000",,"5,858,000",박성우십일조
2026-03-15,09:28,타행이체,"500,000",,"6,358,000",우리상사
2026-03-15,09:35,타행이체,"100,000",,"6,458,000",유정숙
2026-03-15,10:42,타행이체,"120,000",,"6,578,000",정우짐
2026-03-15,10:49,타행이체,"80,000",,"6,658,000",박영수
2026-03-15,10:56,타행이체,"50,000",,"6,708,000",박서준감사헌금
2026-03-15,10:03,타행이체,"500,000",,"7,208,000",강민철
2026-03-15,10:10,타행이체,"300,000",,"7,508,000",대성정밀
2026-03-15,10:17,타행이체,"90,000",,"7,598,000",김하늘
2026-03-15,11:24,타행이체,"130,000",,"7,728,000",홍기석
2026-03-15,11:31,타행이체,"400,000",,"8,128,000",(주)한빛건설
2026-03-15,11:38,타행이체,"170,000",,"8,298,000",김보라
2026-03-15,11:45,타행이체,"60,000",,"8,358,000",윤지원
2026-03-15,11:52,타행이체,"110,000",,"8,468,000",서지안
2026-03-15,11:59,타행이체,"70,000",,"8,538,000",오하람
2026-03-15,12:06,타행이체,"95,000",,"8,633,000",임채원
2026-03-15,12:13,타행이체,"85,000",,"8,718,000",조민재
2026-03-15,12:20,타행이체,"90,000",,"8,808,000",배정숙
2026-03-15,12:27,타행이체,"100,000",,"8,908,000",김수현
